,Number of movements ;  Permanent Arrivals ;,Number of movements ;  Long-term Residents returning ;,Number of movements ;  Long-term Visitors arriving ;,Number of movements ;  Permanent and Long-term Arrivals ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Total Arrivals ;
09-May,11440,7590,25590,44620,439630,,,372920,,,857170
09-Jun,10970,8310,30580,49860,450510,,,362280,,,862650
09-Jul,11180,9390,58960,79530,616540,,,458960,,,1155030
09-Aug,13260,9050,30660,52970,543690,,,413160,,,1009820
09-Sep,12550,9540,25050,47150,560890,,,437290,,,1045330
09-Oct,11610,9700,30750,52060,682230,,,484820,,,1219110
09-Nov,11610,10270,22200,44090,503800,,,485250,,,1033140
09-Dec,11960,18540,20520,51020,438160,,,649360,,,1138540
10-Jan,11470,9450,57510,78430,824860,,,448710,,,1352000
10-Feb,12320,9830,61570,83710,455820,,,560130,,,1099660
10-Mar,12890,9770,32140,54800,482780,,,526330,,,1063910
10-Apr,10790,7880,26580,45240,561680,,,428900,,,1035820
10-May,10550,7090,20340,37980,492970,,,374960,,,905910
10-Jun,10480,8340,24910,43720,517450,,,403700,,,964870
10-Jul,9710,9120,49040,67870,730910,,,510930,,,1309700
